title,url,price
"1231 Puritan Ave, Bronx, NY 10461",https://www.zillow.com/homedetails/1231-Puritan-Ave-Bronx-NY-10461/29841202_zpid/,"$599,000"
"1227 Evergreen Ave, Bronx, NY 10472",https://www.zillow.com/homedetails/1227-Evergreen-Ave-Bronx-NY-10472/29795700_zpid/,"$160,000"
"67-40 Yellowstone Boulevard Unit 7a, Queens, NY 11375",https://www.zillow.com/homedetails/67-40-Yellowstone-Blvd-APT-7A-Queens-NY-11375/113198050_zpid/,"$235,000"
"3240 Riverdale Ave Apt 4d, Bronx, NY 10463",https://www.zillow.com/homedetails/3240-Riverdale-Ave-APT-4D-Bronx-NY-10463/215955203_zpid/,"$115,000"
"87-50 204 Street Unit A76, Hollis, NY 11423",https://www.zillow.com/homedetails/8750-204th-St-APT-A76-Hollis-NY-11423/245427066_zpid/,"$245,000"
"152 Beach 26 St, Far Rockaway, NY 11691",https://www.zillow.com/homedetails/152-Beach-26-St-Far-Rockaway-NY-11691/2090783914_zpid/,"$838,000"
"16015 Powells Cove Blvd Apt D104, Whitestone, NY 11357",https://www.zillow.com/homedetails/16015-Powells-Cove-Blvd-APT-D104-Whitestone-NY-11357/219862386_zpid/,"$245,000"
"133 Beach 120 St #2e, Rockaway Park, NY 11694",https://www.zillow.com/homedetails/133-Beach-120-St-2E-Rockaway-Park-NY-11694/2067836795_zpid/,"$235,000"
"23-42 143 Street, Flushing, NY 11357",https://www.zillow.com/homedetails/2342-143rd-St-Flushing-NY-11357/32024965_zpid/,"$1,049,000"
"310 W 56th St Apt 9j, New York, NY 10019",https://www.zillow.com/homedetails/310-W-56th-St-APT-9J-New-York-NY-10019/72519469_zpid/,"$370,000"
"132-36 Pople Avenue Unit 3e, Flushing, NY 11355",https://www.zillow.com/homedetails/13236-Pople-Ave-APT-3E-Flushing-NY-11355/112515186_zpid/,"$598,000"
"104 E 37th St Apt 3e, New York, NY 10016",https://www.zillow.com/homedetails/104-E-37th-St-APT-3E-New-York-NY-10016/119910697_zpid/,"$475,000"
"430 W 34th St Apt 8l, New York, NY 10001",https://www.zillow.com/homedetails/430-W-34th-St-APT-8L-New-York-NY-10001/244859378_zpid/,"$495,000"
"440 9th St Apt 3, Brooklyn, NY 11215",https://www.zillow.com/homedetails/440-9th-St-APT-3-Brooklyn-NY-11215/30584896_zpid/,"$750,000"
"1075 Ocean Pkwy Apt 1c, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1075-Ocean-Pkwy-APT-1C-Brooklyn-NY-11230/245063408_zpid/,"$215,000"
"95-32 113th Street, South Richmond Hill, NY 11419",https://www.zillow.com/homedetails/95-32-113th-St-South-Richmond-Hill-NY-11419/2056784030_zpid/,"$789,000"
"140 Dixon Ave, Staten Island, NY 10303",https://www.zillow.com/homedetails/140-Dixon-Ave-Staten-Island-NY-10303/2054214011_zpid/,"$1,200,000"
